image_id,sun_azimuth_angle,global_raw_prob,center_zoom_prob,delta_i_gradient,physics_pred,center_model_pred,final_hybrid_label,confidence
eval_00013.png,242.01,0.445,0.442,-0.0257,0,0,0,HIGH (Physics & Zoomed-CNN Agree)
eval_01369.png,268.71,0.4467,0.5394,0.073,1,1,1,HIGH (Physics & Zoomed-CNN Agree)
eval_00618.png,38.63,0.447,0.618,0.0289,1,1,1,HIGH (Physics & Zoomed-CNN Agree)
eval_01901.png,144.24,0.4525,0.4302,-0.0609,0,0,0,HIGH (Physics & Zoomed-CNN Agree)
eval_00397.png,169.9,0.4528,0.3462,-0.2311,0,0,0,HIGH (Physics & Zoomed-CNN Agree)
eval_00713.png,175.42,0.4584,0.5501,-0.0646,0,1,0,MODERATE (Strong Physics Gradient |Delta I|=0.065)
eval_01979.png,283.19,0.4613,0.5411,0.0434,1,1,1,HIGH (Physics & Zoomed-CNN Agree)
eval_00814.png,171.68,0.4641,0.6146,-0.0124,0,1,1,MODERATE (Model Dominant P=0.615)
eval_01193.png,97.11,0.4643,0.6062,-0.0407,0,1,0,MODERATE (Strong Physics Gradient |Delta I|=0.041)
eval_01811.png,179.33,0.4652,0.5304,-0.0197,0,1,1,MODERATE (Model Dominant P=0.530)
eval_00906.png,249.41,0.4655,0.5539,-0.0197,0,1,1,MODERATE (Model Dominant P=0.554)
eval_00919.png,13.28,0.4692,0.5731,-0.308,0,1,0,MODERATE (Strong Physics Gradient |Delta I|=0.308)
eval_00224.png,264.95,0.4695,0.4916,-0.0321,0,1,1,MODERATE (Model Dominant P=0.492)
eval_00336.png,11.32,0.4719,0.6776,-0.3035,0,1,0,MODERATE (Strong Physics Gradient |Delta I|=0.303)
eval_01640.png,245.46,0.4754,0.4348,0.0222,1,0,0,MODERATE (Model Dominant P=0.435)
eval_01395.png,269.24,0.4759,0.6148,-0.1027,0,1,0,MODERATE (Strong Physics Gradient |Delta I|=0.103)
eval_01980.png,60.71,0.476,0.4748,-0.1422,0,1,0,MODERATE (Strong Physics Gradient |Delta I|=0.142)
eval_01679.png,163.43,0.4765,0.656,-0.0551,0,1,0,MODERATE (Strong Physics Gradient |Delta I|=0.055)
eval_01666.png,153.94,0.477,0.5139,0.0204,1,1,1,HIGH (Physics & Zoomed-CNN Agree)
eval_01428.png,22.01,0.4785,0.3687,0.1356,1,0,1,MODERATE (Strong Physics Gradient |Delta I|=0.136)
eval_00759.png,154.86,0.4786,0.4924,-0.0018,0,1,1,MODERATE (Model Dominant P=0.492)
eval_00594.png,14.65,0.4792,0.3006,-0.2295,0,0,0,HIGH (Physics & Zoomed-CNN Agree)
eval_00318.png,253.2,0.4797,0.4427,0.0045,1,0,0,MODERATE (Model Dominant P=0.443)
eval_01256.png,325.36,0.481,0.4576,0.0085,1,0,0,MODERATE (Model Dominant P=0.458)
eval_00704.png,170.76,0.481,0.4948,-0.0145,0,1,1,MODERATE (Model Dominant P=0.495)
eval_01469.png,163.58,0.4816,0.6039,-0.0244,0,1,1,MODERATE (Model Dominant P=0.604)
eval_00020.png,32.36,0.4828,0.4554,-0.1591,0,0,0,HIGH (Physics & Zoomed-CNN Agree)
eval_00099.png,352.53,0.4851,0.7101,0.0152,1,1,1,HIGH (Physics & Zoomed-CNN Agree)
eval_00591.png,301.22,0.4864,0.3841,0.0659,1,0,1,MODERATE (Strong Physics Gradient |Delta I|=0.066)
eval_00818.png,7.1,0.4896,0.451,-0.0047,0,0,0,HIGH (Physics & Zoomed-CNN Agree)
eval_00413.png,14.59,0.4902,0.5966,0.1275,1,1,1,HIGH (Physics & Zoomed-CNN Agree)
eval_01471.png,115.08,0.4913,0.4432,0.1029,1,0,1,MODERATE (Strong Physics Gradient |Delta I|=0.103)
eval_00185.png,163.23,0.4928,0.5399,-0.0005,0,1,1,MODERATE (Model Dominant P=0.540)
eval_00126.png,149.94,0.4929,0.3053,-0.0012,0,0,0,HIGH (Physics & Zoomed-CNN Agree)
eval_01891.png,351.07,0.4933,0.6989,0.017,1,1,1,HIGH (Physics & Zoomed-CNN Agree)
eval_00760.png,278.21,0.4946,0.369,0.1064,1,0,1,MODERATE (Strong Physics Gradient |Delta I|=0.106)
eval_00711.png,110.85,0.4966,0.305,0.0529,1,0,1,MODERATE (Strong Physics Gradient |Delta I|=0.053)
eval_01086.png,166.97,0.4974,0.5596,0.279,1,1,1,HIGH (Physics & Zoomed-CNN Agree)
eval_01015.png,114.79,0.4999,0.5133,0.0033,1,1,1,HIGH (Physics & Zoomed-CNN Agree)
eval_00560.png,207.17,0.4999,0.4406,0.0701,1,0,1,MODERATE (Strong Physics Gradient |Delta I|=0.070)
